CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
19501;Thuridur Erla Helgadottir;Thuridur Erla;Helgadottir;F;27;null;0;null;0;159.93999;58.96696;44952;CrossFit Zug;02;;;;0;IS;132;108;87;152;389;60;2:49;1:57;8:32;18:56;1:01;21:26
96750;Oddrún Eik Gylfadottir;Oddrún Eik;Gylfadottir;F;30;null;0;null;0;158.93999;58.059776;44953;CrossFit EHOH;02;;;;0;IS;132;90;75;143;--;63;--;--;--;--;1:05;21:00
151555;Erin Vandendriessche;Erin;Vandendriessche;F;28;null;0;null;0;161.93999;65.77084;44954;Root 18 CrossFit;02;;;;0;US;120.20188;102.0582;90.7184;136.0776;--;30;5:03;3:00;--;--;--;26:26
796219;Hanna Karlsson;Hanna;Karlsson;F;26;null;0;null;0;163.93999;79.83219;44592;CrossFit Riders;02;;;;0;SE;120;100;85;170;--;--;--;--;--;--;--;--
9759;Cheryl Nasso;Cheryl;Nasso;F;34;null;0;null;0;158.93999;56.699;44955;CrossFit Tradition;02;;;;0;US;111.13004;83.91452;63.50288;142.88148;434;54;2:10;1:26;7:50;17:04;1:06;19:52
531598;Paige Semenza;Paige;Semenza;F;27;null;0;null;0;157.93999;64.863655;44900;CrossFit Vertex;02;;;;0;US;149.68536;106.594124;83.91452;167.82904;--;--;--;--;--;--;--;--
115892;Meg Reardon;Meg;Reardon;F;27;null;0;null;0;160.93999;68.0388;44956;CrossFit Queens;02;;;;0;US;140.61353;106.594124;90.7184;167.82904;--;48;--;--;--;--;1:08;--
887297;Emma Tall;Emma;Tall;F;27;null;0;null;0;160.93999;69.853165;44957;CrossFit Kungsholmen;02;;;;0;SE;58.96696;105;80;175;--;--;--;--;--;--;--;--
43198;Lindsay Vaughan;Lindsay;Vaughan;F;34;null;0;null;0;162.93999;69.853165;44958;CrossFit Ballina;02;;;;0;US;110;94;80;125;--;71;2:42;1:43;--;--;--;--
279929;Rachel Garibay;Rachel;Garibay;F;27;null;0;null;0;7.54;58.96696;44959;CrossFit 915;02;;;;0;US;147.4174;107.954895;77.11064;188.24068;390;50;2:05;--;--;--;--;--
468509;Alice Mille;Alice;Mille;F;25;null;0;null;0;163.93999;68.945984;44960;CrossFit Walleye;02;;;;0;SE;132;104;84;160;--;--;--;1:33;--;--;--;21:00
484380;Emily Rolfe;Emily;Rolfe;F;30;null;0;null;0;161.93999;68.0388;null;null;02;;;;0;CA;--;--;--;--;--;--;--;--;--;--;--;--
